"rank","code","name","value","share","cum_share"
125,"Democratic Republic of the Congo","Democratic Republic of the Congo",238.699700912113,0.000132744520871999,0.996989219444458
126,"Nepal","Nepal",232.09590615958,0.000129072050537883,0.997118291494996
127,"Mozambique","Mozambique",211.219628841363,0.000117462436367407,0.997235753931364
128,"Papua New Guinea","Papua New Guinea",209.709002395973,0.000116622354109475,0.997352376285473
129,"Paraguay","Paraguay",208.530048906819,0.000115966720208594,0.997468343005682
130,"Nicaragua","Nicaragua",197.651091435942,0.000109916767102075,0.997578259772784
131,"Congo","Congo",191.077390006976,0.000106261032121222,0.997684520804905
132,"Kosovo","Kosovo",188.443427671493,0.000104796245752062,0.997789317050657
133,"Botswana","Botswana",184.335769969646,0.000102511915057661,0.997891828965715
134,"Bahamas","Bahamas",180.559858578229,0.00010041207351369,0.997992241039228
135,"New Caledonia","New Caledonia",171.76877985346,9.55232214170665e-05,0.998087764260645
136,"Iceland","Iceland",171.68602316569,9.54771991689241e-05,0.998183241459815
137,"Equatorial Guinea","Equatorial Guinea",163.383552720546,9.08600695408462e-05,0.998274101529355
138,"Mauritius","Mauritius",133.211242685736,7.40807907069489e-05,0.998348182320062
139,"Uganda","Uganda",131.383518552444,7.30643656195567e-05,0.998421246685682
140,"Suriname","Suriname",128.75980045579,7.16052762268483e-05,0.998492851961909
141,"Benin","Benin",128.382441753976,7.13954213343714e-05,0.998564247383243
142,"Montenegro","Montenegro",122.139766769145,6.79237751753925e-05,0.998632171158418
143,"Guyana","Guyana",117.341500983125,6.5255386860083e-05,0.998697426545278
144,"Madagascar","Madagascar",112.653594181367,6.26483708482741e-05,0.998760074916127
145,"Malta","Malta",111.222647627734,6.18525997855972e-05,0.998821927515912
146,"Guinea","Guinea",105.935836661967,5.89125240925406e-05,0.998880840040005
147,"Mali","Mali",100.196259298384,5.57206581445517e-05,0.99893656069815
148,"Mauritania","Mauritania",99.8632903268706,5.55354890537654e-05,0.998992096187203
149,"Burkina Faso","Burkina Faso",95.7897493511309,5.3270131187749e-05,0.999045366318391
150,"Haiti","Haiti",88.8442046725901,4.94076085409886e-05,0.999094773926932
151,"Namibia","Namibia",87.1999782665623,4.84932293204063e-05,0.999143267156252
152,"State of Palestine","State of Palestine",77.9910387958868,4.33719985308288e-05,0.999186639154783
153,"Togo","Togo",76.6308719338307,4.26155891272155e-05,0.99922925474391
154,"Aruba","Aruba",75.7685477213589,4.21360375652174e-05,0.999271390781476
155,"Lesotho","Lesotho",72.3303119642376,4.02239825585289e-05,0.999311614764034
156,"Barbados","Barbados",63.8750062655194,3.55218589299121e-05,0.999347136622964
157,"Sint Maarten (Dutch part)","Sint Maarten (Dutch part)",62.2230595285408,3.46031863162961e-05,0.99938173980928
158,"Niger","Niger",61.5070109921723,3.42049808744035e-05,0.999415944790155
159,"Malawi","Malawi",57.5567048339531,3.20081557578794e-05,0.999447952945913
160,"Macao","Macao",57.529056799728,3.19927802670756e-05,0.99947994572618
161,"Fiji","Fiji",54.0663207306631,3.00671002656437e-05,0.999510012826445
162,"Liberia","Liberia",52.5208840156521,2.92076594892698e-05,0.999539220485935
163,"Chad","Chad",51.3430880279919,2.85526692925101e-05,0.999567773155227
164,"South Sudan","South Sudan",45.5307772191654,2.53203551734367e-05,0.999593093510401
165,"Eswatini","Eswatini",44.6119475524182,2.48093800720467e-05,0.999617902890473
166,"Sierra Leone","Sierra Leone",42.6197075763771,2.37014652314706e-05,0.999641604355704
167,"Somalia","Somalia",41.932207131974,2.33191358161305e-05,0.99966492349152
168,"Rwanda","Rwanda",37.3159588357098,2.07519701851212e-05,0.999685675461705
169,"Greenland","Greenland",35.1944239234157,1.95721524711921e-05,0.999705247614177
170,"French Polynesia","French Polynesia",35.0195263172712,1.94748892620611e-05,0.999724722503439
171,"Faeroe Islands","Faeroe Islands",33.6613763095129,1.87196014616857e-05,0.9997434421049
172,"Maldives","Maldives",33.6540798881189,1.87155438111804e-05,0.999762157648711
173,"Bermuda","Bermuda",31.0249729724223,1.72534576145416e-05,0.999779411106326
174,"Bhutan","Bhutan",29.7971359641577,1.65706388479148e-05,0.999795981745174
175,"Antigua and Barbuda","Antigua and Barbuda",26.9201080579236,1.49706800315063e-05,0.999810952425205
176,"Belize","Belize",22.5177823502182,1.25224799937233e-05,0.999823474905199
177,"Djibouti","Djibouti",21.1208642266615,1.17456326566702e-05,0.999835220537856
178,"Eritrea","Eritrea",19.1031209123365,1.06235350232032e-05,0.999845844072879
179,"Gambia","Gambia",17.6769438836209,9.83041636560922e-06,0.999855674489245
180,"Cape Verde","Cape Verde",16.9163932829967,9.40746265141104e-06,0.999865081951896
181,"Burundi","Burundi",16.6877213852715,9.28029474385011e-06,0.99987436224664
182,"Andorra","Andorra",16.6549687605855,9.26208051293722e-06,0.999883624327153
183,"Saint Lucia","Saint Lucia",16.4552168230387,9.15099543347719e-06,0.999892775322586
184,"Seychelles","Seychelles",16.1134878116568,8.96095475177294e-06,0.999901736277338
185,"Central African Republic","Central African Republic",12.340506492179,6.86274266520859e-06,0.999908599020003
186,"Timor-Leste","Timor-Leste",12.1372140052702,6.74968863259581e-06,0.999915348708636
187,"Solomon Islands","Solomon Islands",11.6096811215346,6.45631960185081e-06,0.999921805028238
188,"Bonaire, Saint Eustatius and Saba","Bonaire, Saint Eustatius and Saba",10.6273539022786,5.9100325492848e-06,0.999927715060787
189,"Liechtenstein","Liechtenstein",9.96054092733534,5.53920774920404e-06,0.999933254268536
190,"Grenada","Grenada",9.6487681620481,5.36582618990233e-06,0.999938620094726
