"zeithorizont","de_anteil_pct","de_rang","n_laender","kernzahl_pct"
"2a EDGAR THG gesamt 2024",1.3007,12,208,31.7
"2b GCB fossil+Zement kumuliert",3.0771,5,214,35.3
